1,4962108,Junin,Buenos Aires
1,522314,Comuna 07,Ciudad Autonoma de Buenos Aires
1,7870054,Diamante,Entre Rios
1,10857274,La Capital,Santa Fe
3,3257698,Moron,Buenos Aires
0,5213920,Las Flores,Buenos Aires
1,6586549,General San Martin,Cordoba
0,8668773,Chilecito,La Rioja
0,11057271,Rosario,Santa Fe
3,4549377,Escobar,Buenos Aires
3,3803804,Tigre,Buenos Aires
1,4269429,Bartolome Mitre,Buenos Aires
1,5809280,Tandil,Buenos Aires
3,7830277,Concordia,Entre Rios
3,8257114,Patino,Formosa
1,10208534,Caucete,San Juan
0,7306466,Saladas,Corrientes
0,6716177,Punilla,Cordoba
1,1408611,Avellaneda,Buenos Aires
1,4385789,Capitan Sarmiento,Buenos Aires
1,7550785,San Fernando,Chaco
0,9229168,Capital,Misiones
0,7804208,Colon,Entre Rios
3,751581,Comuna 11,Ciudad Autonoma de Buenos Aires
0,10001091,Capital,Salta
1,3157641,Moreno,Buenos Aires
1,11955998,Capital,Tucuman
1,4831921,General Pueyrredon,Buenos Aires
1,2867017,Lomas de Zamora,Buenos Aires
1,2699626,Lanus,Buenos Aires
1,10473464,Deseado,Santa Cruz
0,4883155,General Rodriguez,Buenos Aires
0,3879363,Tres de Febrero,Buenos Aires
3,10551428,Belgrano,Santa Fe
0,142676,Comuna 02,Ciudad Autonoma de Buenos Aires
1,3494448,Quilmes,Buenos Aires
0,6722379,Punilla,Cordoba
1,9839626,Pilnaniyeu,Rio negro
1,4218480,Bahia Blanca,Buenos Aires
1,4839064,General Pueyrredon,Buenos Aires
1,4914077,General Viamonte,Buenos Aires
1,3203134,Moreno,Buenos Aires
3,857902,Comuna 12,Ciudad Autonoma de Buenos Aires
3,6691348,Punilla,Cordoba
1,1033792,Comuna 14,Ciudad Autonoma de Buenos Aires
0,3137214,Moreno,Buenos Aires
3,5156020,La Plata,Buenos Aires
1,2921868,Malvinas Argentinas,Buenos Aires
0,8979951,Lujan de Cuyo,Mendoza
1,3536449,Quilmes,Buenos Aires
1,5963489,Capayan,Catamarca
1,3917482,Tres de Febrero,Buenos Aires
0,7894132,Federacion,Entre Rios
1,5328431,Mercedes,Buenos Aires
3,7460972,Maipu,Chaco
1,11396331,Rosario,Santa Fe
3,6557212,General Roca,Cordoba
3,243696,Comuna 04,Ciudad Autonoma de Buenos Aires
1,2517215,La Matanza,Buenos Aires
3,6481890,Colon,Cordoba
0,6036530,Tinogasta,Catamarca
0,9093679,San Martin,Mendoza
2,9527958,Confluencia,Neuquen
3,4752033,General Pueyrredon,Buenos Aires
1,9788493,General Roca,Rio negro
1,8965329,Lujan de Cuyo,Mendoza
1,12155916,Yerba Buena,Tucuman
0,8679799,General San Martin,La Rioja
0,633896,Comuna 09,Ciudad Autonoma de Buenos Aires
1,643860,Comuna 09,Ciudad Autonoma de Buenos Aires
0,11035884,Rosario,Santa Fe
2,11082657,Rosario,Santa Fe
2,6457727,Capital,Cordoba
1,6381400,Capital,Cordoba
1,3689221,San Miguel,Buenos Aires
3,11544277,San Martin,Santa Fe
0,11577790,Atamisqui,Santiago del Estero
1,6247443,Capital,Cordoba
1,6014927,La Paz,Catamarca
